City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Tessalit,0,ML,1550803868,37,20.2,1.01,49.13,8.3
Constitucion,90,MX,1550799780,50,23.99,-104.67,53.6,9.17
Gamba,0,CN,1550803870,71,28.28,88.52,12.23,5.84
Port Lincoln,0,AU,1550803872,76,-34.72,135.86,73.7,11.43
Kavaratti,0,IN,1550803876,99,10.57,72.64,83.47,12.66
Kavieng,48,PG,1550803877,98,-2.57,150.8,84.1,9.64
San Jeronimo,44,PE,1550803878,91,-13.65,-73.37,44.05,1.92
Dikson,12,RU,1550803881,80,73.51,80.55,-12.84,13.44
Clyde River,1,CA,1550800800,68,70.47,-68.59,-20.21,18.34
Along,0,IN,1550803883,50,28.17,94.8,59.48,2.04
Solnechnyy,0,RU,1550803884,68,50.72,136.64,18.89,5.61
Tolaga Bay,92,NZ,1550803886,66,-38.37,178.3,72.53,11.65
Haines Junction,68,CA,1550803887,84,60.75,-137.51,9.35,2.82
Lavrentiya,76,RU,1550803889,95,65.58,-170.99,24.07,13.0
Krasnogvardeyets,36,RU,1550803891,79,46.16,39.17,28.75,8.41
Saint George,0,GR,1550800200,80,39.45,22.34,39.2,2.04
Ornskoldsvik,0,SE,1550802000,77,63.29,18.72,14.0,2.24
Yendi,20,GH,1550803894,44,9.45,0.0,71.77,4.16
Havre-Saint-Pierre,75,CA,1550800800,76,50.23,-63.6,-4.01,3.36
Itarema,80,BR,1550803897,98,-2.92,-39.92,74.38,1.14
Williston,75,US,1550802900,83,48.15,-103.62,-0.41,4.7
Batemans Bay,0,AU,1550803899,76,-35.71,150.18,69.92,6.4
Kota Kinabalu,75,MY,1550800800,70,5.98,116.07,86.0,3.36
Hambantota,0,LK,1550801400,88,6.12,81.12,78.8,10.29
Manaure,0,CO,1550803906,92,11.78,-72.45,78.43,25.19
Novobirilyussy,76,RU,1550803702,86,56.95,90.69,24.43,8.19
Tugulym,40,RU,1550800800,67,57.06,64.64,19.4,11.18
Salta,0,AR,1550800800,83,-24.79,-65.41,78.8,2.24
Victoria,75,BN,1550800800,66,5.28,115.24,87.8,5.82
Sehithwa,0,BW,1550803912,74,-20.47,22.7,64.97,2.71
Zhigansk,64,RU,1550803913,69,66.77,123.37,-10.0,3.6
Oranjestad,40,AW,1550800800,78,12.52,-70.03,78.8,24.16
Grand Island,90,US,1550802900,79,40.92,-98.34,26.6,14.99
Santo Tomas,0,PH,1550803917,67,17.4,121.77,79.82,3.38
Narrabri,0,AU,1550801280,23,-30.33,149.78,87.8,17.22
Nacozari,0,MX,1550803923,74,25.34,-108.26,57.5,3.27
Kefamenanu,20,ID,1550803927,98,-9.45,124.48,76.49,0.69
Havoysund,40,NO,1550800200,94,71.0,24.66,32.0,26.4
Pilar,0,AR,1550800800,74,-34.46,-58.91,84.2,4.7
Byron Bay,100,AU,1550802360,50,-28.65,153.62,80.6,20.8
North Platte,90,US,1550800380,73,41.12,-100.77,24.8,14.99
Zyryanka,44,RU,1550803933,79,65.73,150.89,-18.46,2.93
Meulaboh,12,ID,1550803935,100,4.14,96.13,83.83,4.16
Alyangula,0,AU,1550800800,63,-13.85,136.42,91.4,8.05
Shimminato,75,JP,1550800800,45,36.78,137.07,48.2,3.36
Coihaique,0,CL,1550800800,67,-45.58,-72.07,44.6,4.7
Vangaindrano,92,MG,1550803941,99,-23.35,47.6,71.9,3.94
Bo Phloi,0,TH,1550803942,54,14.32,99.52,89.0,3.71
Russell,0,AR,1550800800,45,-33.01,-68.8,84.2,5.82
Turbat,64,PK,1550803944,55,26.0,63.05,42.52,3.27
Kita,75,JP,1550800800,87,35.76,139.74,51.8,4.7
Hasaki,75,JP,1550800800,50,35.73,140.83,51.8,4.7
Pangnirtung,12,CA,1550803951,78,66.15,-65.72,-26.56,7.4
Mogadishu,24,SO,1550803950,98,2.04,45.34,80.0,18.81
Panama City,90,US,1550801700,100,30.16,-85.65,69.8,9.17
La Ronge,5,CA,1550800800,83,55.1,-105.3,-11.21,2.24
Muisne,68,EC,1550803955,84,0.61,-80.02,75.5,2.59
Ponta Delgada,20,PT,1550802600,87,37.73,-25.67,57.2,20.8
Amahai,8,ID,1550803959,99,-3.31,129.0,84.55,7.18
Naze,20,NG,1550800800,94,5.43,7.07,78.8,9.19
Taonan,0,CN,1550803961,41,45.34,122.78,41.75,9.75
Kindersley,5,CA,1550800800,83,51.47,-109.16,-9.41,18.34
Jiuquan,0,CN,1550803964,61,39.73,98.49,17.0,4.38
Deputatskiy,20,RU,1550803965,40,69.3,139.9,-27.55,2.71
Whitehorse,90,CA,1550802720,85,60.72,-135.06,14.0,8.05
Katobu,0,ID,1550803969,76,-4.94,122.53,88.1,1.14
Husavik,64,CA,1550803970,76,50.56,-96.99,4.67,3.27
Usinsk,20,RU,1550803971,74,66.0,57.56,0.17,10.09
Easton,1,US,1550802900,64,42.02,-71.13,39.2,5.82
Sri Aman,75,MY,1550800800,83,1.24,111.46,80.6,2.24
Mkushi,92,ZM,1550803976,94,-13.61,29.4,66.59,6.73
Mareeba,0,AU,1550800800,66,-16.99,145.42,89.6,9.17
Guerrero Negro,92,MX,1550803979,84,27.97,-114.04,57.68,16.8
Kambove,92,CD,1550803981,95,-10.88,26.6,64.34,4.38
Joshimath,48,IN,1550803982,90,30.57,79.57,16.28,1.48
San Ignacio,100,CL,1550800800,82,-36.8,-72.03,66.2,4.7
Mackay,75,CA,1550800800,66,53.65,-115.58,15.8,10.29
Ulaangom,80,MN,1550803986,69,49.98,92.07,6.83,1.03
Darhan,0,MN,1550803990,47,49.49,105.92,23.53,4.16
Myslenice,90,PL,1550800800,93,49.83,19.94,41.0,9.17
Cariamanga,92,EC,1550803994,96,-4.33,-79.56,67.58,1.36
Slave Lake,90,CA,1550800800,66,55.28,-114.77,12.2,9.17
Luderitz,0,NA,1550803997,79,-26.65,15.16,61.87,13.44
Erzin,40,TR,1550800200,93,36.95,36.2,50.0,2.24
Vestmanna,88,FO,1550803800,100,62.16,-7.17,46.4,8.05
Kalanwali,8,IN,1550804001,100,29.83,74.98,59.08,6.17
Maneromango,20,TZ,1550800800,94,-7.2,38.78,77.0,3.15
Port Augusta,0,AU,1550800800,36,-32.49,137.76,78.8,11.41
Surt,76,LY,1550804005,100,31.21,16.59,50.39,4.94
Rutland,90,US,1550802900,74,43.61,-72.97,39.2,6.17
Sochi,75,RU,1550800800,80,43.6,39.73,41.0,6.71
Pochutla,5,MX,1550799900,65,15.74,-96.47,78.8,6.62
Athabasca,20,CA,1550803975,75,54.72,-113.29,3.68,11.21
Aykhal,36,RU,1550804011,73,65.95,111.51,-3.97,2.48
Ocampo,32,PH,1550804012,81,13.56,123.37,80.77,8.63
Tuatapere,36,NZ,1550804013,97,-46.13,167.69,55.97,21.83
Tromso,75,NO,1550802000,73,69.65,18.96,26.6,17.22
Wakkanai,75,JP,1550800800,80,45.41,141.67,33.8,2.24
Chara,0,GR,1550800200,80,39.42,22.43,39.2,2.04
Islamkot,0,PK,1550804018,63,24.7,70.18,60.7,11.32
Vila Franca do Campo,20,PT,1550802600,87,37.72,-25.43,57.2,20.8
Rawson,92,AR,1550804021,53,-43.3,-65.11,58.9,5.84
Parana,75,BR,1550800800,94,-7.52,-72.89,77.0,4.16
Sabzevar,0,IR,1550804027,68,36.21,57.68,19.97,2.93
Payakumbuh,68,ID,1550804028,92,-0.23,100.63,75.55,2.15
Itoman,75,JP,1550801760,88,26.12,127.67,69.8,17.22
Ngunguru,100,NZ,1550804030,98,-35.62,174.5,71.9,18.81
Elizabeth City,90,US,1550803500,100,36.3,-76.22,53.6,5.28
Ampanihy,32,MG,1550804033,93,-24.69,44.75,58.63,3.04
Porto Novo,75,BR,1550800800,100,-23.68,-45.44,71.6,1.12
Liberty,1,US,1550802900,92,39.64,-84.93,41.0,3.36
Barcelos,0,PT,1550802600,81,41.53,-8.62,53.6,9.17
Golubitskaya,64,RU,1550800800,93,45.32,37.28,35.6,4.47
Port Macquarie,75,AU,1550800980,57,-31.43,152.91,78.8,19.46
Nioro,32,GM,1550804042,38,13.79,-15.05,74.92,7.18
Banda Aceh,0,ID,1550804043,71,5.56,95.32,85.4,5.06
Royan,0,FR,1550802600,80,45.62,-1.03,44.6,3.36
Mayumba,88,GA,1550804045,100,-3.44,10.65,76.13,4.38
Pokosnoye,92,RU,1550804047,81,55.53,101.05,26.0,9.19
Centralia,1,US,1550804100,71,39.21,-92.14,37.4,4.7
Ahipara,100,NZ,1550804049,99,-35.17,173.16,69.52,13.78
Polunochnoye,80,RU,1550804050,80,60.87,60.43,16.42,3.71
Killarney,0,AU,1550804052,56,-28.34,152.3,75.68,13.78
Umea,0,SE,1550802000,75,63.83,20.26,-13.01,2.24
Hami,48,CN,1550804054,77,42.84,93.51,26.5,0.13
Jalu,0,LY,1550804056,77,29.03,21.55,39.95,3.49
Salamanca,0,ES,1550802600,92,40.97,-5.66,28.4,2.71
Yar-Sale,88,RU,1550804058,77,66.83,70.83,-3.93,6.17
Poronaysk,36,RU,1550804059,78,49.22,143.1,23.08,3.04
Wuda,32,CN,1550804060,51,39.5,106.72,34.82,4.27
Innisfail,20,CA,1550800800,77,52.02,-113.95,3.2,11.41
Pasni,32,PK,1550804063,100,25.26,63.48,60.2,12.21
Darnah,0,LY,1550804064,100,32.77,22.64,59.03,14.0
Yatou,75,CM,1550800800,94,3.63,9.81,80.6,1.12
San Juan,20,PH,1550800800,58,14.6,121.03,82.4,4.7
Vanimo,8,PG,1550804071,99,-2.67,141.3,82.48,25.19
Goderich,48,CA,1550803813,81,43.74,-81.71,22.63,9.19
Glyadyanskoye,8,RU,1550804073,81,54.91,65.09,20.2,15.01
Progreso,0,UY,1550800800,83,-34.68,-56.22,80.6,4.7
Shimanovsk,0,RU,1550804076,52,52.0,127.67,24.74,6.62
Saint-Louis,90,CH,1550802600,86,47.59,7.56,44.6,2.24
Puerto Cabello,0,VE,1550804080,94,10.47,-68.01,66.59,2.82
Betong,0,MY,1550804081,79,5.77,101.07,82.7,3.27
Wilkie,1,CA,1550800800,83,52.41,-108.71,-4.01,4.7
Lac du Bonnet,44,CA,1550804083,79,50.25,-96.06,6.07,6.62
Foki,92,RU,1550804084,92,56.69,54.35,28.61,9.98
Half Moon Bay,20,US,1550800560,37,37.46,-122.43,53.6,24.16
Yima,0,CN,1550804087,72,34.75,111.87,42.38,4.16
Messina,40,IT,1550800500,66,38.19,15.55,53.6,6.93
Filingue,0,NE,1550804089,44,14.35,3.32,66.86,5.39
Cockburn Town,64,TC,1550804090,100,21.46,-71.14,76.9,20.38
Humboldt,0,CA,1550804092,63,52.21,-105.12,-9.19,5.17
Rio Grande,0,BR,1550804093,85,-32.03,-52.1,75.55,14.12
Cotonou,40,BJ,1550800800,83,6.37,2.43,84.2,16.11
Champerico,5,MX,1550800260,48,16.38,-93.6,82.4,10.29
Luganville,12,VU,1550804097,94,-15.51,167.18,84.05,13.78
Suluq,0,LY,1550804098,91,31.67,20.25,35.0,2.82
Mungaa,0,TZ,1550804099,94,-4.97,34.86,60.97,7.96
Dudinka,80,RU,1550804100,59,69.41,86.18,-6.94,10.2
Kenai,1,US,1550800560,79,60.55,-151.26,28.4,5.82
Sarangani,0,PH,1550804103,93,5.4,125.46,81.4,5.39
Leh,44,IN,1550803845,76,34.16,77.58,7.28,3.15
Aksaray,0,TR,1550802000,86,38.37,34.03,26.6,3.36
Westerland,40,NL,1550803740,100,52.89,4.93,48.2,2.24
Vanavara,80,RU,1550804108,90,60.35,102.28,27.08,6.29
Port Keats,0,AU,1550804109,80,-14.25,129.55,91.57,12.33
Atasu,0,KZ,1550804111,72,48.68,71.64,7.73,9.08
Sirawai,12,PH,1550804112,53,7.59,122.14,86.39,4.27
Karratha,0,AU,1550803898,34,-20.74,116.85,98.32,5.06
Teguldet,68,RU,1550804118,75,57.31,88.17,22.13,8.41
Saravan,0,AM,1550800800,79,39.72,45.65,28.4,2.24
Derzhavinsk,68,KZ,1550804121,85,51.1,66.31,17.72,15.57
Peniche,0,PT,1550800800,81,39.36,-9.38,53.6,8.05
West Bay,20,GB,1550802000,93,50.71,-2.76,44.6,6.93
Hamilton,40,CA,1550800800,74,43.26,-79.87,33.8,5.82
Ciudad Bolivar,8,VE,1550804126,56,8.12,-63.55,82.03,13.67
Mahenge,92,TZ,1550804127,97,-8.68,36.72,71.27,2.48
Sao Joao da Barra,0,BR,1550804128,98,-21.64,-41.05,80.68,6.17
Codrington,92,AU,1550802360,50,-28.95,153.24,80.6,20.8
Lompoc,90,US,1550802900,61,34.64,-120.46,50.0,3.36
Sobolevo,64,RU,1550804132,78,54.43,31.9,14.03,18.48
Nantucket,1,US,1550802900,69,41.28,-70.1,42.8,4.7
Qinzhou,88,CN,1550804136,72,21.96,108.62,59.39,10.2
Belyy Yar,0,RU,1550800800,67,53.6,91.39,19.4,17.9
Magadi,0,IN,1550800800,60,12.96,77.22,68.0,4.7
North Bend,75,US,1550800560,70,43.41,-124.22,44.6,11.41
Wanning,75,AT,1550802000,81,48.64,13.53,46.4,17.22
Churapcha,24,RU,1550804145,62,62.0,132.43,-13.87,3.83
Mankachar,0,IN,1550804146,76,25.53,89.87,65.47,4.05
Columbia,1,US,1550804100,71,38.95,-92.33,37.4,4.7
Rio Gallegos,20,AR,1550800800,100,-51.62,-69.22,41.0,13.87
Haverfordwest,8,GB,1550800200,87,51.8,-4.97,48.2,13.87
Acapulco,40,MX,1550799720,83,16.86,-99.88,77.0,6.93
Punta Gorda,75,US,1550802900,94,26.93,-82.05,75.2,6.29
Florianopolis,20,BR,1550800800,88,-27.6,-48.55,75.2,2.15
Sikasso,12,ML,1550804155,45,11.32,-5.68,69.2,8.3
Nancha,0,CN,1550803894,50,47.14,129.26,32.08,4.72
Contamana,12,PE,1550804157,92,-7.35,-75.01,77.48,1.25
Bela,0,PK,1550804159,88,26.23,66.31,40.49,3.38
Tungor,32,RU,1550804161,100,53.39,142.95,6.74,14.23
Gravdal,92,NO,1550803800,86,59.79,5.78,44.6,13.87
Baoshan,75,CN,1550800800,86,31.41,121.49,41.0,11.18
Diamantino,64,BR,1550804165,89,-14.4,-56.44,72.89,2.15
Djenne,24,ML,1550804166,32,13.91,-4.55,71.0,10.98
Denpasar,20,ID,1550800800,74,-8.65,115.22,86.0,4.7
Camacha,20,PT,1550802600,72,33.08,-16.33,62.6,19.46
Palu,12,ID,1550804170,76,-0.9,119.87,77.08,1.92
Loreto,44,PY,1550804171,60,-23.27,-57.32,82.57,4.72
Amboise,0,FR,1550802600,86,47.41,0.98,39.2,1.12
Noyabrsk,76,RU,1550804173,87,63.2,75.45,11.69,11.43
Aklavik,90,CA,1550800800,84,68.22,-135.01,-2.21,4.7
Seymchan,56,RU,1550804178,70,62.93,152.39,-16.98,1.59
Bud,92,NO,1550803800,87,62.91,6.91,46.4,9.17
Seydi,0,NE,1550804181,65,13.34,7.75,62.0,2.37
Aksu,0,KZ,1550800800,84,52.04,76.93,6.8,8.95
Sur,24,OM,1550804184,100,22.57,59.53,67.9,6.4
High Level,40,CA,1550800800,77,58.52,-117.13,5.0,2.24
Kampot,40,KH,1550800800,70,10.62,104.18,84.2,9.17
Madingou,92,CG,1550804188,97,-4.17,13.56,67.9,1.7
Moyale,8,ET,1550804189,88,3.52,39.05,64.07,2.59
Kaitangata,12,NZ,1550804191,51,-46.28,169.85,64.57,21.61
Nowy Sacz,90,PL,1550802600,93,49.62,20.7,35.6,5.82
Kuruman,0,ZA,1550804193,59,-27.46,23.43,62.18,3.6
Buala,76,SB,1550804194,77,-8.15,159.59,86.35,9.19
Kabinda,92,CD,1550804196,99,-6.14,24.49,67.0,4.61
Halenkov,90,CZ,1550802600,100,49.32,18.15,41.0,3.36
Roebourne,0,AU,1550804198,34,-20.77,117.15,98.32,5.06
Manokwari,12,ID,1550804199,97,-0.87,134.08,82.25,17.69
Santa Cruz de la Palma,0,ES,1550802600,82,28.68,-17.76,59.0,5.82
Rio Brilhante,20,BR,1550804202,93,-21.8,-54.54,72.71,4.94
Pestovo,75,RU,1550800800,78,55.36,37.98,15.8,17.9
Guye,76,CN,1550804204,64,39.73,118.44,44.27,4.72
Bisalpur,0,IN,1550804206,99,28.29,79.8,62.95,9.42
Cove,90,US,1550802900,100,29.8,-94.84,55.4,8.05
Kuloy,68,RU,1550804208,82,61.03,42.49,13.04,20.49
Andrews,1,US,1550802900,50,32.32,-102.55,55.4,11.41
Banamba,44,ML,1550804212,27,13.55,-7.45,68.8,9.75
Debre Birhan,76,ET,1550804213,91,9.68,39.53,48.5,1.03
Khamgaon,0,IN,1550804214,53,20.71,76.57,76.63,4.38
Sinnamary,100,GF,1550804215,92,5.38,-52.96,79.55,9.42
Lata,0,IN,1550804217,100,30.78,78.62,39.28,1.81
Soure,0,PT,1550800800,81,40.06,-8.63,53.6,8.05
Pecos,1,US,1550802900,32,31.42,-103.49,57.2,8.05
Filiates,0,GR,1550802000,93,39.6,20.31,44.6,4.7
Wagar,88,US,1550804225,97,31.44,-87.99,70.1,5.17
Macas,20,EC,1550804226,88,-2.3,-78.12,62.63,3.27
Nexo,8,DK,1550803800,69,55.06,15.13,33.8,10.29
Bulgan,0,MN,1550804229,49,48.81,103.53,21.86,3.83
Kloulklubed,75,PW,1550803800,88,7.04,134.26,78.8,4.7
Kandrian,20,PG,1550804233,62,-6.21,149.55,89.36,2.59
Mwinilunga,92,ZM,1550804234,98,-11.73,24.43,63.17,2.71
Albion,90,US,1550802900,85,41.69,-98.0,21.2,12.75
Vazante,20,BR,1550804237,94,-17.99,-46.9,67.76,2.37
Saldanha,0,PT,1550804239,83,41.42,-6.55,34.55,3.71
Minab,64,IR,1550802600,76,27.15,57.07,57.2,4.38
Conversano,0,IT,1550802000,93,40.97,17.11,42.8,4.7
Port-Gentil,88,GA,1550804244,100,-0.72,8.78,78.83,0.13
Lake Havasu City,90,US,1550803440,66,34.47,-114.34,48.2,4.7
Kaeo,100,NZ,1550804246,97,-35.1,173.78,69.83,14.12
Dzilam Gonzalez,32,MX,1550804247,66,21.28,-88.93,79.28,9.08
Arroyo,1,US,1550802600,67,41.39,-78.88,37.4,8.05
Fuerte Olimpo,32,BR,1550804250,86,-21.04,-57.87,78.47,8.19
Port Hawkesbury,90,CA,1550803260,85,45.62,-61.36,14.0,5.82
Ust-Nera,12,RU,1550804252,45,64.57,143.24,-30.84,2.15
Springfield,1,US,1550802900,60,37.22,-93.29,41.0,11.41
Santa Cruz,1,US,1550802900,37,36.97,-122.03,53.6,10.29
San Carlos,0,VE,1550804258,48,9.66,-68.59,80.63,7.74
Vostok,12,RU,1550804259,61,46.45,135.83,27.13,4.72
